date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:49	390837/390837	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/icons-RwhydX30.svg	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/icons-RwhydX30.svg	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:49	31156/31156	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/outline-icons-LX8adJ4n.eot	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/outline-icons-LX8adJ4n.eot	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:50	31156/31156	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/outline-icons-LX8adJ4n.eot?	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/outline-icons-LX8adJ4nd41d.eot	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:50	12240/12240	---M--	200	added ('OK')	font/woff2	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/outline-icons-DInHoiqI.woff2	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/outline-icons-DInHoiqI.woff2	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:50	14712/14712	---M--	200	added ('OK')	font/woff	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/outline-icons-aQ88nltS.woff	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/outline-icons-aQ88nltS.woff	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:50	30928/30928	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/outline-icons-DD8jm0uy.ttf	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/outline-icons-DD8jm0uy.ttf	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:50	107201/107201	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/outline-icons-BfdLr8tr.svg	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/outline-icons-BfdLr8tr.svg	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:51	98640/98640	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/brand-icons-sqJ2Pg7a.eot	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/brand-icons-sqJ2Pg7a.eot	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:51	98640/98640	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/brand-icons-sqJ2Pg7a.eot?	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/brand-icons-sqJ2Pg7ad41d.eot	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:51	54488/54488	---M--	200	added ('OK')	font/woff2	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/brand-icons-XL9sxUpA.woff2	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/brand-icons-XL9sxUpA.woff2	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:51	63728/63728	---M--	200	added ('OK')	font/woff	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/brand-icons-F3SPCeH1.woff	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/brand-icons-F3SPCeH1.woff	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:52	98404/98404	---M-Z	200	added ('OK')	font/ttf	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/brand-icons-ubhWoxly.ttf	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/brand-icons-ubhWoxly.ttf	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
00:18:52	507628/507628	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Sep%202025%2023:29:50%20GMT	https://learn-duck.firebaseapp.com/assets/brand-icons-Cu_C0hZ4.svg	C:/My%20Web%20Sites/https___learn-duck.firebaseapp.com_class_Steal-A-Brainrot/learn-duck.firebaseapp.com/assets/brand-icons-Cu_C0hZ4.svg	(from https://learn-duck.firebaseapp.com/assets/index-Bsl-WkV3.css)
